"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 15:09:29 GMT 2022","Tue Sep 27 15:09:32 GMT 2022","2585","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"passed","Tue Sep 27 15:09:25 GMT 2022","Tue Sep 27 15:09:29 GMT 2022","4644","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Tue Sep 27 15:09:17 GMT 2022","Tue Sep 27 15:09:25 GMT 2022","7485","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Tue Sep 27 15:10:09 GMT 2022","Tue Sep 27 15:10:12 GMT 2022","2549","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
"passed","Tue Sep 27 15:09:32 GMT 2022","Tue Sep 27 15:10:04 GMT 2022","32091","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
"passed","Tue Sep 27 15:10:06 GMT 2022","Tue Sep 27 15:10:09 GMT 2022","2513","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
"passed","Tue Sep 27 15:07:49 GMT 2022","Tue Sep 27 15:08:00 GMT 2022","11096","chromium","Login.spec.js","","","","should login with invalid password",""
"passed","Tue Sep 27 15:10:04 GMT 2022","Tue Sep 27 15:10:06 GMT 2022","2564","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"passed","Tue Sep 27 15:07:40 GMT 2022","Tue Sep 27 15:07:49 GMT 2022","8539","chromium","Login.spec.js","","","","should login with invalid email",""
"passed","Tue Sep 27 15:08:10 GMT 2022","Tue Sep 27 15:08:17 GMT 2022","6463","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"passed","Tue Sep 27 15:08:00 GMT 2022","Tue Sep 27 15:08:10 GMT 2022","9981","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"passed","Tue Sep 27 15:07:32 GMT 2022","Tue Sep 27 15:07:40 GMT 2022","8053","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Tue Sep 27 15:07:24 GMT 2022","Tue Sep 27 15:07:32 GMT 2022","8876","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
"passed","Tue Sep 27 15:10:12 GMT 2022","Tue Sep 27 15:10:15 GMT 2022","3273","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
